2025-12-17 11:31:20 -05 LOG:  el sistema de bases de datos fue apagado en 2025-12-16 22:11:39 -05
2025-12-17 11:36:20 -05 LOG:  empezando checkpoint: time
2025-12-17 11:36:20 -05 LOG:  checkpoint complete: wrote 0 buffers (0.0%), wrote 3 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.012 s, sync=0.004 s, total=0.070 s; sync files=2, longest=0.003 s, average=0.002 s; distance=0 kB, estimate=0 kB; lsn=0/1F0BAC0, redo lsn=0/1F0BA68
2025-12-17 14:37:13 -05 LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2025-12-17 15:06:20 -05 LOG:  empezando checkpoint: time
2025-12-17 15:06:22 -05 LOG:  checkpoint complete: wrote 10 buffers (0.1%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=1.104 s, sync=0.391 s, total=1.530 s; sync files=11, longest=0.067 s, average=0.036 s; distance=51 kB, estimate=51 kB; lsn=0/1F186C8, redo lsn=0/1F18670
2025-12-17 15:43:38 -05 LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2025-12-17 16:00:51 -05 LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2025-12-17 16:00:51 -05 LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2025-12-17 16:00:51 -05 LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2025-12-17 16:00:51 -05 LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2025-12-17 16:00:51 -05 LOG:  could not receive data from client: An existing connection was forcibly closed by the remote host.
	
2025-12-17 16:00:51 -05 LOG:  could not receive data from client: An existing connection was forcibly closed by the remote host.
	
2025-12-17 16:00:55 -05 LOG:  apagando
2025-12-17 16:00:55 -05 LOG:  empezando checkpoint: shutdown immediate
2025-12-17 16:00:55 -05 ERROR:  cancelando la sentencia debido a una petición del usuario
2025-12-17 16:00:55 -05 LOG:  checkpoint complete: wrote 0 buffers (0.0%), wrote 0 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.008 s, sync=0.001 s, total=0.031 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=45 kB; lsn=0/1F18778, redo lsn=0/1F18778
